pos	count

0	23306
1	25622
2	25541
3	24240
4	25050
5	27373
6	29542
7	31454
8	47507
9	69702
10	84954
11	109390
12	145859
13	194838
14	251209
15	283812
16	315962
17	333089
18	321395
19	319783
20	325117
21	338923
22	349802
23	379244
24	383602
25	399481
26	404571
27	386544
28	378388
29	377838
30	376984
31	384930
32	391844
33	401037
34	401778
35	387460
36	400613
37	392623
38	387771
39	388608
40	385479
41	390432
42	379334
43	374204
44	378389
45	368547
46	374112
47	362354
48	357931
49	362178
50	351085
51	340973
52	336582
53	337272
54	321683
55	329860
56	322872
57	320146
58	312107
59	300523
60	292449
61	288525
62	281751
63	274417
64	268966
65	261898
66	253993
67	247228
68	244840
69	238415
70	227325
71	222322
72	217523
73	211625
74	205337
75	200649
76	197109
77	191862
78	185611
79	181403
80	175812
81	172014
82	166575
83	159561
84	153630
85	151594
86	145850
87	144059
88	138347
89	134708
90	129406
91	124073
92	120663
93	116532
94	111236
95	109653
96	104872
97	102048
98	98670
99	96123
100	91026
101	89535
102	84780
103	81964
104	78620
105	76712
106	73866
107	71565
108	69358
109	66510
110	64087
111	62634
112	59817
113	57067
114	54815
115	52497
116	50830
117	49001
118	47898
119	46162
120	44530
121	42768
122	41041
123	40022
124	37825
125	36234
126	35289
127	33770
128	32778
129	31496
130	30435
131	29354
132	28569
133	27016
134	26251
135	25121
136	24411
137	22863
138	22484
